[2018/04/02 19:00:07] HTTP GET / 302 [0.05, 180.167.110.90:3401]
[2018/04/02 19:00:07] HTTP GET /login?next=/ 301 [0.02, 180.167.110.90:3401]
[2018/04/02 19:00:07] HTTP GET /login/?next=/ 200 [0.07, 180.167.110.90:3401]
[2018/04/02 19:00:07] HTTP GET /static/vendor/bootstrap/css/bootstrap.min.css 200 [0.01, 180.167.110.90:3406]
[2018/04/02 19:00:07] HTTP GET /static/vendor/font-awesome/css/font-awesome.min.css 200 [0.01, 180.167.110.90:3409]
[2018/04/02 19:00:07] HTTP GET /static/vendor/metisMenu/metisMenu.min.css 200 [0.01, 180.167.110.90:3407]
[2018/04/02 19:00:07] HTTP GET /static/dist/css/sb-admin-2.css 200 [0.01, 180.167.110.90:3408]
[2018/04/02 19:00:08] HTTP GET /static/vendor/metisMenu/metisMenu.min.js 200 [0.04, 180.167.110.90:3409]
[2018/04/02 19:00:08] HTTP GET /static/vendor/bootstrap/js/bootstrap.min.js 200 [0.04, 180.167.110.90:3408]
[2018/04/02 19:00:08] HTTP GET /static/dist/js/sb-admin-2.js 200 [0.03, 180.167.110.90:3406]
[2018/04/02 19:00:08] HTTP GET /static/vendor/jquery/jquery.min.js 200 [0.03, 180.167.110.90:3407]
[2018/04/02 19:00:15] HTTP POST /login/?next=/ 302 [0.07, 180.167.110.90:3409]
[2018/04/02 19:00:15] HTTP GET /user/center/ 200 [0.07, 180.167.110.90:3406]
[2018/04/02 19:00:15] HTTP GET /static/vendor/raphael/raphael.min.js 200 [0.01, 180.167.110.90:11010]
[2018/04/02 19:00:15] HTTP GET /static/vendor/flot/jquery.flot.pie.js 200 [0.01, 180.167.110.90:11014]
[2018/04/02 19:00:15] HTTP GET /static/vendor/flot/excanvas.min.js 200 [0.04, 180.167.110.90:11012]
[2018/04/02 19:00:15] HTTP GET /static/vendor/morrisjs/morris.css 200 [0.04, 180.167.110.90:11008]
[2018/04/02 19:00:15] HTTP GET /static/vendor/flot/jquery.flot.js 200 [0.04, 180.167.110.90:11013]
[2018/04/02 19:00:15] HTTP GET /static/dist/css/bootstrap-select.css 200 [0.04, 180.167.110.90:11009]
[2018/04/02 19:00:15] HTTP GET /static/vendor/morrisjs/morris.min.js 200 [0.04, 180.167.110.90:11011]
[2018/04/02 19:00:15] HTTP GET /static/vendor/flot/jquery.flot.time.js 200 [0.04, 180.167.110.90:3406]
[2018/04/02 19:00:15] HTTP GET /static/vendor/flot/jquery.flot.resize.js 200 [0.04, 180.167.110.90:11015]
[2018/04/02 19:00:15] HTTP GET /static/vendor/flot-tooltip/jquery.flot.tooltip.min.js 200 [0.03, 180.167.110.90:11016]
[2018/04/02 19:00:15] HTTP GET /static/dist/css/xcConfirm.css 200 [0.04, 180.167.110.90:11014]
[2018/04/02 19:00:15] HTTP GET /static/dist/js/xcConfirm.js 200 [0.03, 180.167.110.90:11008]
[2018/04/02 19:00:15] HTTP GET /static/js/csrf.js 200 [0.02, 180.167.110.90:11009]
[2018/04/02 19:00:15] HTTP GET /static/dist/js/bootstrap-select.js 200 [0.02, 180.167.110.90:3406]
[2018/04/02 19:00:15] HTTP GET /static/js/echarts.js 200 [0.02, 180.167.110.90:11014]
[2018/04/02 19:00:16] HTTP GET /static/dist/css/bootstrap-datetimepicker.min.css 200 [0.04, 180.167.110.90:11015]
[2018/04/02 19:00:16] HTTP GET /static/js/bootstrap-datetimepicker.js 200 [0.05, 180.167.110.90:11008]
[2018/04/02 19:00:16] HTTP GET /static/dist/js/bootstrap-notify.js 200 [0.01, 180.167.110.90:11015]
[2018/04/02 19:00:16] HTTP GET /static/js/reconnecting-websocket.js 200 [0.02, 180.167.110.90:11012]
[2018/04/02 19:00:16] HTTP GET /static/dist/css/jquery.dataTables.min.css 200 [0.04, 180.167.110.90:11009]
[2018/04/02 19:00:17] HTTP GET /static/js/jquery.dataTables.min.js 200 [0.04, 180.167.110.90:11009]
[2018/04/02 19:00:24] HTTP GET /static/vendor/font-awesome/fonts/fontawesome-webfont.eot? 200 [0.03, 180.167.110.90:11015]
[2018/04/02 19:00:24] HTTP GET /api/order/root/ 200 [0.02, 180.167.110.90:11016]
[2018/04/02 19:00:41] HTTP GET / 200 [0.06, 180.167.110.90:11011]
[2018/04/02 19:00:42] HTTP GET /api/order/root/ 200 [0.06, 180.167.110.90:11009]
[2018/04/02 19:04:03] HTTP GET /assets_config 200 [0.07, 180.167.110.90:8502]
[2018/04/02 19:04:03] HTTP GET /static/vendor/bootstrap/fonts/glyphicons-halflings-regular.eot? 200 [0.04, 180.167.110.90:8502]
[2018/04/02 19:04:03] HTTP GET /api/order/root/ 200 [0.06, 180.167.110.90:8502]
[2018/04/02 19:04:08] HTTP GET /assets_add 200 [0.07, 180.167.110.90:8502]
[2018/04/02 19:04:09] HTTP GET /api/order/root/ 200 [0.06, 180.167.110.90:8502]
[2018/04/02 19:04:18] HTTP GET /deploy_add 200 [0.07, 180.167.110.90:8502]
[2018/04/02 19:04:19] HTTP GET /api/order/root/ 200 [0.04, 180.167.110.90:8502]
[2018/04/02 19:04:27] HTTP POST /deploy_add 200 [0.06, 180.167.110.90:8502]
[2018/04/02 19:04:27] HTTP GET /static/dist/img/icons.png 200 [0.01, 180.167.110.90:8502]
[2018/04/02 19:04:27] HTTP GET /api/order/root/ 200 [0.04, 180.167.110.90:8502]
[2018/04/02 19:04:30] HTTP GET /deploy_list 200 [0.04, 180.167.110.90:8502]
[2018/04/02 19:04:31] HTTP GET /api/order/root/ 200 [0.02, 180.167.110.90:8502]
2018-04-02 19:04:39 [WARNING] 获取SQL审核配置信息失败: SQL_Audit_Control matching query does not exist.
2018-04-02 19:04:39 [WARNING] 获取Inception服务器信息失败: Inception_Server_Config matching query does not exist.
[2018/04/02 19:04:40] HTTP GET /db/config/ 500 [0.33, 180.167.110.90:8502]
[2018/04/02 19:04:42] HTTP GET /deploy_list 200 [0.05, 180.167.110.90:8502]
[2018/04/02 19:04:43] HTTP GET /api/order/root/ 200 [0.05, 180.167.110.90:8502]
[2018/04/02 19:04:46] HTTP GET /config 200 [0.07, 180.167.110.90:8502]
[2018/04/02 19:04:46] HTTP GET /api/order/root/ 200 [0.02, 180.167.110.90:8502]
[2018/04/03 10:25:33] HTTP GET /favicon.ico 404 [0.11, 180.167.110.90:11196]
[2018/04/03 11:18:20] HTTP GET /favicon.ico 404 [0.04, 180.167.110.90:13717]
